text,label
Bom dia a todos! Apenas para informar 33,0
Preciso de uma reunião para discutir o projeto 291,1
Preciso de uma reunião para discutir o projeto 314,1
Preciso de uma reunião para discutir o projeto 55,1
Preciso de uma reunião para discutir o projeto 387,1
Bom dia a todos! Apenas para informar 14,0
Bom dia a todos! Apenas para informar 87,0
Bom dia a todos! Apenas para informar 163,0
Preciso de uma reunião para discutir o projeto 605,1
Preciso de uma reunião para discutir o projeto 194,1
Preciso de uma reunião para discutir o projeto 324,1
Bom dia a todos! Apenas para informar 133,0
Preciso de uma reunião para discutir o projeto 160,1
Bom dia a todos! Apenas para informar 118,0
Bom dia a todos! Apenas para informar 8,0
Preciso de uma reunião para discutir o projeto 692,1
Preciso de uma reunião para discutir o projeto 346,1
Preciso de uma reunião para discutir o projeto 161,1
Preciso de uma reunião para discutir o projeto 193,1
Bom dia a todos! Apenas para informar 25,0
Bom dia a todos! Apenas para informar 169,0
Preciso de uma reunião para discutir o projeto 43,1
Bom dia a todos! Apenas para informar 176,0
Preciso de uma reunião para discutir o projeto 6,1
Bom dia a todos! Apenas para informar 147,0
Bom dia a todos! Apenas para informar 7,0
Preciso de uma reunião para discutir o projeto 510,1
Bom dia a todos! Apenas para informar 132,0
Preciso de uma reunião para discutir o projeto 722,1
Preciso de uma reunião para discutir o projeto 348,1
Preciso de uma reunião para discutir o projeto 107,1
Bom dia a todos! Apenas para informar 150,0
Preciso de uma reunião para discutir o projeto 330,1
Bom dia a todos! Apenas para informar 185,0
Preciso de uma reunião para discutir o projeto 682,1
Bom dia a todos! Apenas para informar 20,0
Preciso de uma reunião para discutir o projeto 777,1
Preciso de uma reunião para discutir o projeto 517,1
Preciso de uma reunião para discutir o projeto 238,1
Bom dia a todos! Apenas para informar 189,0
Bom dia a todos! Apenas para informar 77,0
Preciso de uma reunião para discutir o projeto 640,1
Bom dia a todos! Apenas para informar 161,0
Preciso de uma reunião para discutir o projeto 527,1
Bom dia a todos! Apenas para informar 143,0
Preciso de uma reunião para discutir o projeto 621,1
Preciso de uma reunião para discutir o projeto 675,1
Bom dia a todos! Apenas para informar 26,0
Bom dia a todos! Apenas para informar 183,0
Bom dia a todos! Apenas para informar 173,0
Bom dia a todos! Apenas para informar 18,0
Bom dia a todos! Apenas para informar 195,0
Preciso de uma reunião para discutir o projeto 159,1
Preciso de uma reunião para discutir o projeto 588,1
Bom dia a todos! Apenas para informar 119,0
Bom dia a todos! Apenas para informar 68,0
Bom dia a todos! Apenas para informar 95,0
Preciso de uma reunião para discutir o projeto 149,1
Preciso de uma reunião para discutir o projeto 710,1
Preciso de uma reunião para discutir o projeto 301,1
Preciso de uma reunião para discutir o projeto 541,1
Preciso de uma reunião para discutir o projeto 543,1
Bom dia a todos! Apenas para informar 41,0
Bom dia a todos! Apenas para informar 40,0
Preciso de uma reunião para discutir o projeto 282,1
Bom dia a todos! Apenas para informar 20,0
Preciso de uma reunião para discutir o projeto 26,1
Bom dia a todos! Apenas para informar 104,0
Preciso de uma reunião para discutir o projeto 496,1
Preciso de uma reunião para discutir o projeto 403,1
Bom dia a todos! Apenas para informar 168,0
Preciso de uma reunião para discutir o projeto 203,1
Bom dia a todos! Apenas para informar 97,0
Preciso de uma reunião para discutir o projeto 733,1
Preciso de uma reunião para discutir o projeto 306,1
Bom dia a todos! Apenas para informar 135,0
Bom dia a todos! Apenas para informar 107,0
Bom dia a todos! Apenas para informar 11,0
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 114,0
Bom dia a todos! Apenas para informar 21,0
Bom dia a todos! Apenas para informar 169,0
Bom dia a todos! Apenas para informar 69,0
Preciso de uma reunião para discutir o projeto 434,1
Bom dia a todos! Apenas para informar 124,0
Bom dia a todos! Apenas para informar 55,0
Preciso de uma reunião para discutir o projeto 7,1
Preciso de uma reunião para discutir o projeto 607,1
Preciso de uma reunião para discutir o projeto 394,1
Preciso de uma reunião para discutir o projeto 558,1
Bom dia a todos! Apenas para informar 79,0
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 155,0
Preciso de uma reunião para discutir o projeto 92,1
Preciso de uma reunião para discutir o projeto 180,1
Preciso de uma reunião para discutir o projeto 137,1
Preciso de uma reunião para discutir o projeto 146,1
Bom dia a todos! Apenas para informar 37,0
Bom dia a todos! Apenas para informar 105,0
Preciso de uma reunião para discutir o projeto 95,1
Preciso de uma reunião para discutir o projeto 237,1
Preciso de uma reunião para discutir o projeto 201,1
Preciso de uma reunião para discutir o projeto 532,1
Preciso de uma reunião para discutir o projeto 4,1
Preciso de uma reunião para discutir o projeto 401,1
Preciso de uma reunião para discutir o projeto 567,1
Preciso de uma reunião para discutir o projeto 773,1
Preciso de uma reunião para discutir o projeto 580,1
Preciso de uma reunião para discutir o projeto 127,1
Bom dia a todos! Apenas para informar 190,0
Bom dia a todos! Apenas para informar 39,0
Preciso de uma reunião para discutir o projeto 694,1
Bom dia a todos! Apenas para informar 165,0
Bom dia a todos! Apenas para informar 98,0
Bom dia a todos! Apenas para informar 199,0
Bom dia a todos! Apenas para informar 99,0
Preciso de uma reunião para discutir o projeto 77,1
Bom dia a todos! Apenas para informar 117,0
Preciso de uma reunião para discutir o projeto 305,1
